1 825.01
2 969.90
3 1872.83
4 1411.11
5 879.37
6 998.09
7 1006.22
8 755.89
9 800.61
10 1357.58
11 808.20
12 804.49
13 858.84
14 1044.68
15 920.23
16 1174.42
17 916.45
18 708.25
19 889.50
20 1561.62
21 851.65
22 940.68
23 873.36
24 960.36
25 935.31
26 985.74
27 1016.43
28 1020.65
29 752.33
30 817.71
31 1046.81
32 966.94
33 972.13
34 927.08
35 1667.19
36 985.41
37 1030.02
38 818.83
39 869.15
40 993.73
41 890.91
42 905.09
43 1024.88
44 931.80
45 1034.01
46 834.16
47 632.17
48 801.12
49 916.70
50 1074.79
